CASE_STATUS,AGENT_POC_EMP_REP_BY_AGENT,SOC_CODE,NAICS_CODE,NBR_WORKERS_REQUESTED,FULL_TIME_POSITION,NATURE_OF_TEMPORARY_NEED,BASIC_NUMBER_OF_HOURS,BASIC_RATE_OF_PAY,SUPERVISE_HOW_MANY,EDUCATION_LEVEL,NUM_OF_MONTHS_TRAINING,EMP_EXP_NUM_MONTHS,SWA_NAME,AGENT_ATTORNEY_CITY,WORKSITE_CITY,AGENT_ATTORNEY_STATE,WORKSITE_STATE,HOURLY_WORK_SCHEDULE_AM,HOURLY_WORK_SCHEDULE_PM,OVERTIME_RATE_FROM,OVERTIME_RATE_TO
1,1,37,81,9,1,peakload,35.0,15.0,0.0,none,0.0,0.0,0,jackson,teton village,wyoming,wyoming,07:30:00,16:00:00,22.5,22.5
0,0,49,54,15,1,intermittent,40.0,25.0,0.0,high school/ged ,1.0,60.0,0,no attorney representation,the woodlands,no attorney representation,texas,06:00:00,18:00:00,45.0,76.0
1,1,35,72,4,1,peakload,35.0,11.72,0.0,none,0.0,0.0,0,centerville,woodstock,massachusetts,vermont,06:00:00,14:00:00,17.58,17.58
1,1,37,72,5,1,peakload,35.0,13.03,0.0,none,0.0,3.0,0,centerville,woodstock,massachusetts,vermont,07:00:00,15:00:00,19.55,19.55
1,1,53,72,2,1,peakload,35.0,12.74,0.0,none,0.0,0.0,0,centerville,woodstock,massachusetts,vermont,07:00:00,15:00:00,0.0,0.0
1,1,49,71,40,1,seasonal,35.0,13.91,0.0,none,0.0,0.0,0,annapolis,clanton,maryland,alabama,08:30:00,17:00:00,0.0,0.0
1,1,39,71,30,1,seasonal,40.0,12.9,0.0,none,0.0,1.0,0,new york,boynton beach,new york,florida,05:00:00,13:00:00,19.35,19.35
1,1,39,71,8,1,seasonal,40.0,12.9,0.0,none,0.0,1.0,0,new york,boynton beach,new york,florida,05:00:00,13:00:00,19.35,19.35
1,1,39,71,10,1,seasonal,40.0,12.9,0.0,none,0.0,1.0,0,new york,boynton beach,new york,florida,05:00:00,13:00:00,19.35,19.35
1,1,39,71,12,1,seasonal,40.0,12.9,0.0,none,0.0,1.0,0,new york,boynton beach,new york,florida,05:00:00,13:00:00,19.35,19.35
1,1,53,23,30,1,peakload,40.0,16.68,0.0,none,0.0,0.0,0,austin,midland,texas,texas,07:00:00,16:00:00,25.02,25.02
1,1,37,72,19,1,peakload,35.0,12.85,0.0,none,0.0,0.0,0,lovingston,jackson,virginia,wyoming,08:00:00,15:30:00,19.28,19.28
1,1,39,71,7,1,seasonal,40.0,13.68,0.0,none,0.0,1.0,0,norman,laurel,oklahoma,maryland,05:00:00,17:00:00,20.52,20.52
1,1,37,56,65,1,seasonal,35.0,14.12,0.0,none,0.0,0.0,0,lovingston,parkland,virginia,florida,07:00:00,14:30:00,21.18,21.18
1,1,37,56,30,1,seasonal,35.0,14.86,0.0,none,0.0,0.0,0,coeur d' alene,norwood,idaho,colorado,06:00:00,16:30:00,22.29,27.0
0,1,51,72,1,1,peakload,40.0,12.44,0.0,none,0.0,12.0,0,dallas,dallas,texas,texas,03:00:00,13:00:00,18.66,0.0
0,1,47,23,10,1,seasonal,40.0,15.81,0.0,none,0.0,0.0,0,buda,birmingham,texas,alabama,08:00:00,16:00:00,0.0,0.0
0,1,47,56,15,1,one-time occurrence,40.0,21.77,0.0,none,0.0,0.0,0,durham,detroit,north carolina,michigan,08:00:00,17:00:00,32.66,32.66
0,0,37,54,1,1,one-time occurrence,35.0,10.82,0.0,high school/ged ,0.0,12.0,0,no attorney representation,tombstone,no attorney representation,arizona,08:00:00,15:00:00,0.0,0.0
0,1,45,11,24,1,seasonal,40.0,15.06,0.0,none,0.0,0.0,0,douglas,russelville,georgia,arkansas,08:00:00,16:00:00,0.0,0.0
0,1,51,56,30,1,peakload,40.0,12.49,0.0,none,0.0,0.0,0,douglas,alma,georgia,georgia,08:00:00,17:00:00,0.0,0.0
1,1,35,71,4,1,peakload,35.0,15.55,0.0,none,0.0,12.0,0,framingham,teton village,massachusetts,wyoming,11:00:00,18:00:00,23.33,26.33
0,0,47,23,67,1,peakload,40.0,17.65,0.0,none,0.0,0.0,0,no attorney representation,vinton,no attorney representation,louisiana,07:00:00,17:00:00,27.0,27.0
1,0,37,56,38,1,seasonal,35.0,11.02,0.0,none,0.0,1.0,0,no attorney representation,santa rosa beach,no attorney representation,florida,08:00:00,15:00:00,16.53,16.53
1,1,37,72,12,1,peakload,35.0,12.85,0.0,none,0.0,3.0,0,lovingston,jackson,virginia,wyoming,08:30:00,16:00:00,19.28,19.28
0,1,27,71,1,1,seasonal,40.0,30.0,0.0,none,0.0,48.0,0,salt lake city,park city,utah,utah,07:30:00,16:30:00,45.0,45.0
0,1,37,56,60,1,seasonal,40.0,15.0,0.0,none,0.0,24.0,0,lackawanna,lansing,new york,michigan,08:00:00,17:00:00,0.0,0.0
1,0,45,11,32,1,seasonal,35.0,12.86,0.0,none,0.0,3.0,0,no attorney representation,post falls,no attorney representation,idaho,07:00:00,16:00:00,19.29,33.0
1,0,45,11,12,1,seasonal,40.0,11.0,0.0,none,0.0,3.0,0,no attorney representation,rockport,no attorney representation,texas,07:00:00,15:30:00,16.5,16.5
1,0,53,42,2,1,seasonal,35.0,11.0,0.0,high school/ged ,0.0,0.0,0,no attorney representation,west palm beach,no attorney representation,florida,09:00:00,17:00:00,16.5,16.5
1,0,27,71,3,1,seasonal,40.0,3500.0,0.0,high school/ged ,0.0,4.0,0,no attorney representation,aspen,no attorney representation,colorado,09:00:00,17:00:00,0.0,0.0
1,1,47,23,10,1,seasonal,40.0,13.37,0.0,none,0.0,1.0,0,ames,ankeny,iowa,iowa,07:00:00,19:00:00,20.05,20.05
1,0,45,42,18,1,seasonal,40.0,12.66,0.0,none,0.0,0.0,1,no attorney representation,pageland,no attorney representation,south carolina,07:00:00,16:00:00,18.99,18.99
1,1,39,71,4,1,seasonal,40.0,11.13,0.0,none,0.0,1.0,0,norman,tampa,oklahoma,florida,05:00:00,17:00:00,16.7,16.7
1,1,37,72,9,1,peakload,35.0,12.85,0.0,none,0.0,3.0,0,lovingston,jackson,virginia,wyoming,08:30:00,16:00:00,19.28,19.28
1,1,37,72,8,1,peakload,35.0,11.39,0.0,none,0.0,0.0,0,lovingston,west yellowstone,virginia,montana,08:00:00,15:30:00,17.09,17.09
