AGENT_POC_EMP_REP_BY_AGENT,SOC_CODE,NAICS_CODE,NBR_WORKERS_REQUESTED,FULL_TIME_POSITION,NATURE_OF_TEMPORARY_NEED,BASIC_NUMBER_OF_HOURS,BASIC_RATE_OF_PAY,SUPERVISE_HOW_MANY,EDUCATION_LEVEL,NUM_OF_MONTHS_TRAINING,EMP_EXP_NUM_MONTHS,SWA_NAME,CITY_MATCH,STATE_MATCH,WORK_DAY_LENGTH,DAYTIME_WORK,HAS_OVERTIME,CASE_STATUS
0,51,81,2.0,1,intermittent,40.0,12.0,0.0,associate's,0.0,16.0,0,no_rep,no_rep,9.0,1.0,0,0
1,47,23,70.0,1,peakload,40.0,22.9,0.0,none,0.0,24.0,0,different,different,10.0,1.0,1,1
0,47,23,1.0,1,peakload,40.0,17.6,0.0,none,0.0,0.0,0,no_rep,no_rep,8.5,1.0,1,0
1,37,56,8.0,1,seasonal,40.0,13.72,0.0,none,0.0,0.0,0,different,different,8.5,1.0,1,1
1,51,23,70.0,1,peakload,40.0,22.9,0.0,none,0.0,24.0,0,different,different,10.5,1.0,1,1
1,37,56,10.0,1,seasonal,40.0,13.68,0.0,none,0.0,0.0,0,different,same,9.0,1.0,0,1
1,37,71,15.0,1,peakload,35.0,16.0,0.0,none,0.0,3.0,0,different,same,8.5,1.0,1,1
1,37,11,30.0,1,seasonal,40.0,11.3,0.0,none,0.0,0.0,0,different,different,8.5,1.0,0,1
0,39,81,1.0,1,one-time occurrence,40.0,9.91,0.0,high school/ged ,0.0,24.0,0,no_rep,no_rep,9.0,1.0,1,1
1,35,56,3.0,1,seasonal,36.0,14.8,0.0,high school/ged ,0.0,3.0,0,different,different,13.5,0.0,0,1
1,39,71,8.0,1,seasonal,40.0,11.13,0.0,none,0.0,1.0,0,different,different,12.0,1.0,1,1
1,37,72,12.0,1,peakload,35.0,10.5,0.0,none,0.0,0.0,0,different,different,8.0,1.0,1,1
1,33,72,15.0,1,peakload,35.0,11.5,0.0,none,0.0,0.0,0,different,different,8.0,1.0,1,1
1,37,72,15.0,1,peakload,35.0,11.25,0.0,none,0.0,0.0,0,different,different,8.0,1.0,1,1
1,35,72,25.0,1,peakload,40.0,10.92,0.0,none,0.0,3.0,0,different,same,8.0,1.0,1,1
1,35,72,1.0,1,one-time occurrence,40.0,18.68,0.0,bachelor's,0.0,24.0,0,same,same,20.0,0.0,1,1
1,35,72,1.0,1,one-time occurrence,40.0,18.68,0.0,bachelor's,0.0,24.0,0,same,same,8.0,0.0,1,1
1,35,72,1.0,1,one-time occurrence,40.0,14.8,0.0,"other degree (jd, md, etc.)",0.0,48.0,0,same,same,20.0,0.0,1,1
1,53,31,35.0,1,seasonal,35.0,8.33,0.0,none,0.0,0.0,0,different,same,9.0,1.0,1,1
1,27,32,15.0,1,seasonal,40.0,11.14,0.0,none,0.0,0.0,0,different,different,8.5,1.0,1,1
1,45,11,52.0,1,peakload,40.0,11.96,0.0,none,0.0,3.0,0,different,different,8.5,1.0,1,1
1,45,11,42.0,1,seasonal,40.0,9.83,0.0,none,0.0,3.0,0,different,different,9.0,1.0,1,1
1,51,23,80.0,1,peakload,40.0,22.9,0.0,none,0.0,24.0,0,different,different,10.5,1.0,1,1
1,45,11,150.0,1,seasonal,40.0,10.25,0.0,none,0.0,0.0,0,different,different,10.0,1.0,1,1
0,37,53,60.0,1,peakload,36.0,14.77,0.0,none,0.0,0.0,0,no_rep,no_rep,9.0,1.0,1,1
1,45,11,24.0,1,seasonal,35.0,17.26,0.0,none,0.0,0.0,0,different,different,8.0,1.0,1,1
1,37,56,20.0,1,seasonal,35.0,15.39,0.0,none,0.0,3.0,0,different,same,7.5,1.0,1,1
1,37,81,2.0,1,peakload,35.0,14.13,0.0,none,0.0,3.0,0,different,same,9.0,1.0,1,1
1,17,33,1.0,1,one-time occurrence,40.0,36.98,6.0,bachelor's,0.0,24.0,0,different,different,9.0,1.0,1,1
0,35,72,14.0,1,peakload,40.0,11.77,0.0,none,0.0,0.0,0,no_rep,no_rep,9.0,1.0,0,0
1,47,23,2.0,1,one-time occurrence,40.0,22.24,0.0,none,0.0,10.0,0,different,same,8.0,1.0,0,0
1,51,54,120.0,1,peakload,40.0,22.71,0.0,high school/ged ,0.0,24.0,0,different,different,8.0,1.0,1,0
1,45,11,35.0,1,seasonal,35.0,15.06,0.0,none,0.0,0.0,0,different,different,7.5,1.0,0,1
1,47,54,125.0,1,peakload,40.0,23.66,0.0,high school/ged ,0.0,24.0,0,different,different,8.0,1.0,1,0
1,51,32,24.0,1,peakload,40.0,14.0,0.0,none,0.0,0.0,0,different,different,8.5,1.0,0,0
1,37,23,6.0,1,peakload,35.0,15.18,0.0,none,0.0,0.0,0,different,different,14.0,0.0,1,0
