CASE_STATUS,AGENT_POC_EMP_REP_BY_AGENT,SOC_CODE,NAICS_CODE,NBR_WORKERS_REQUESTED,FULL_TIME_POSITION,NATURE_OF_TEMPORARY_NEED,BASIC_NUMBER_OF_HOURS,BASIC_RATE_OF_PAY,SUPERVISE_HOW_MANY,EDUCATION_LEVEL,NUM_OF_MONTHS_TRAINING,EMP_EXP_NUM_MONTHS,SWA_NAME,CITY_MATCH,STATE_MATCH,WORK_DAY_LENGTH,DAYTIME_WORK,HAS_OVERTIME
1,0,37,56,2,1,seasonal,40.0,15.73,0.0,none,0.0,3.0,0,no_rep,no_rep,8.0,1.0,1
1,1,37,55,20,1,peakload,40.0,12.56,0.0,none,0.0,2.0,0,different,different,8.5,1.0,1
1,1,47,23,15,1,seasonal,40.0,18.52,0.0,none,0.0,0.0,0,different,different,11.0,1.0,1
1,1,37,56,12,1,peakload,40.0,15.73,0.0,none,0.0,0.0,0,different,different,10.0,1.0,1
1,1,37,56,9,1,seasonal,40.0,14.52,0.0,none,0.0,0.0,0,different,different,9.0,1.0,1
1,1,37,56,24,1,seasonal,40.0,16.35,0.0,none,0.0,1.0,0,different,same,8.0,1.0,1
1,1,37,56,12,1,peakload,40.0,13.91,0.0,none,0.0,3.0,0,same,same,8.0,1.0,1
1,1,39,71,140,1,seasonal,40.0,8.66,0.0,none,0.0,0.0,0,different,different,10.0,0.0,0
1,1,39,71,18,1,seasonal,40.0,404.0,0.0,none,0.0,0.0,0,different,different,9.0,0.0,0
1,1,37,72,3,1,peakload,35.0,12.84,0.0,none,0.0,6.0,0,different,same,7.0,1.0,1
1,1,51,56,130,1,seasonal,40.0,13.07,0.0,none,0.0,3.0,0,different,different,12.5,0.0,1
1,1,37,56,50,1,peakload,40.0,14.52,0.0,none,0.0,0.0,0,different,different,9.0,1.0,1
1,1,37,72,20,1,seasonal,35.0,15.0,0.0,none,0.0,0.0,0,different,different,7.5,1.0,1
1,1,37,56,15,1,peakload,40.0,12.92,0.0,none,0.0,0.0,0,different,different,9.0,1.0,1
1,1,39,72,6,1,peakload,35.0,11.5,0.0,none,0.0,3.0,0,different,different,8.0,1.0,1
1,1,37,72,6,1,peakload,35.0,14.73,0.0,none,0.0,3.0,0,different,different,8.5,1.0,1
1,1,37,54,3,1,seasonal,40.0,13.84,0.0,none,0.0,3.0,0,same,same,10.0,1.0,1
1,1,37,56,10,1,seasonal,35.0,12.46,0.0,none,0.0,3.0,0,different,same,9.0,1.0,1
